They do to!	They do not!
Why waste time -- it's getting late.	You see -- what we are interested in --
You see -- what we are interested in --	Ah, come on -- we're going home.
Nine-thirty, Mr. Preysing keeps us waiting.	He likes to play the great man.
Madam, it is Mr. Meierheim -- he is waiting downstairs.	Where is Pimenov? Where is Pimenov?
Madam should sleep.	I've done my hair differently -- do you like that?
Madam has slept well?	Oh, yes, Suzette.
Oh, yes, Suzette.	Madam will dress now, it is late.
Madam will dress now, it is late.	Five minutes, Suzette, come back in five minutes. I'll ring.
Five minutes, Suzette, come back in five minutes. I'll ring.	Yes, madam Suzette knows all about it.
Good morning, Suzette.	Good morning, Madam.
Oh, come, Madam -- please come.	All right, Suzette -- quickly -- hurry.
Ah, oui -- the car is here for Madam.	Send it away -- I shan't need it.
I can't dance tonight --	It will pass -- it will pass -- come.
It will pass -- it will pass -- come.	Let us cancel the engagement.
Let us cancel the engagement.	But, Madam. cannot do that.
I suppose I can cancel the Vienna engagement.	I wish to be alone.
Take them back, Suzette.	You haven't time.
He will be on the train.	But when did he go? How do you know?
Gru -- you are positively radiant.	Yes, Pimenov.  One minute, Suzette, I will call you.
Good morning, Pimenov.	Good morning, Gru -- your --
It is not stage fright -- it's something more --	What -- what is it? Last night...
What -- what is it? Last night...	Last night?... There was no applause.
Last night?... There was no applause.	There was -- there was.
It is time for the performance.	The performance -- the performance -- the performance.
Oh -- the Baron -- the Baron.	He tried to rob me -- he is dead --
-- We must do something...	Yes, the police must be called.
Well now, Miss Flaemm, we can talk.	Some champagne, Miss Flaemm?
Some champagne, Miss Flaemm?	You may go, Mr. Kringelein.
You may go, Mr. Kringelein.	Does the world belong to you, Mr. Preysing?
Does the world belong to you, Mr. Preysing?	What is this insolence?
The gentleman is dissatisfied with room number five fifty-nine.	I certainly have a complaint -- and a fair one.
We will wait.	You are late. Hurry.
What's the matter with you?	Bluff -- Bluff -- all bluff.
Zinnowitz, would you say she was pretty?	Pretty as a picture.
I can make no statement about Manchester at this time.	Well -- gentlemen.
Ach! Here you are, Doctor Zinnowitz.	Have I kept you waiting?
Have I kept you waiting?	Waiting -- I'm waiting for news from Manchester.
Waiting -- I'm waiting for news from Manchester.	No news yet?
No news yet?	No. No word.
No. No word.	Everything depends on the Manchester merger.
Everything depends on the Manchester merger.	I know -- I know.
Oh, thanks, Bobo.	You want a drink?
You ever hear about the oranges?	You mean, the insurance frammis?
You mean, the insurance frammis?	Tell me about the oranges, Lilly.
Bobo, no, I --	You wanna talk to me straight up?
You wanna talk to me straight up?	My son --
My son was in the hospital --	What the fuck are you doin with a son?
I never fucked up before, Bobo.	You expect me to buy this?
How'd you figure you were gonna get away with that?	I'm not getting away with anything, Bobo.
Sounds perfect. I can park my car back there?	Right in front of the room.
Evening. Welcome to Phoenix.	Good evening. I'd like a single for tonight.
Good evening. I'd like a single for tonight.	Oh, everything's the same size, same price.
Your kid's in the back here. He's crying.	Roy? He's always crying.
Come take a look. An entire-suite of main-frame computer.	We're not really interested, Henry.
Want a look?	Oh, Henry, no, that's just boring.
Henry, next time, couldn't Mister Hebbing --	Mary Beth! This has never been anything but --
Seven seconds. I don't see how you do it.	These machines -- They're in here.
I certainly hope not.	Loose talk is the one thing I worry about.
Loose talk is the one thing I worry about.	I can keep my mouth shut, Mister Fellowes.
Take two, three days. Call when you get there.	Maybe I'll swing around Los Ang gleez on the way.
I have only one thing now. Are you interested?	Well, I'd have to see it, of course.
Well, I'd have to see it, of course.	You are seeing it. You're looking right at it.
Mrs. Langtry, I'm sorry.	Why? What's wrong?
Why? What's wrong?	You are a valued customer, as you know.
You are a valued customer, as you know.	But what's wrong?
Mr. Kaggs, I'm sorry.	You're turning me down? Makes no sense, Roy.
You're turning me down? Makes no sense, Roy.	I guess I'm just not a leader of men.
I guess I'm just not a leader of men.	Oh, come on, Roy.
Oh, come on, Roy.	The truth is, Mr. Kaggs --
Lilly, Jesus, what are you doing?	Is there nothing I can do, Roy, nothing at --
Sure, sure, that doesn't count. That's different.	Well, it doesn't matter, does it? I'm getting out.
I know what's bugging you, of course.	Oh? I didn't know anything was.
You want a drink?	I don't think so. You probably shouldn't either.
I don't think so. You probably shouldn't either.	No, but I'm goddamn thirsty. Ice water?
No, but I'm goddamn thirsty. Ice water?	Yeah, sure, that sounds nice.
Yeah, sure, that sounds nice.	I'll get it.
You must have some money.	Just a few bucks.
Just a few bucks.	And Myra's stuff?
I'm sorry. I hated to take your money, but --	Don't be sorry. You're not taking it.
As though you do what I say.	That's pretty funny, all right. What happened in Phoenix?
Somewhere else, that's for sure.	I just came back from Phoenix.
I just came back from Phoenix.	Oh, yeah? Is the frame holding?
I've really got to --	You're dead, Lilly, it worked.
You're dead, Lilly, it worked.	Not for long. Not when they do a fingerprint check.
Not for long. Not when they do a fingerprint check.	Why should they? The cops are satisfied.
Why should they? The cops are satisfied.	Bobo won't be. He'll spend the money to make sure.
I guess not. You'll be heading east from here, huh?	After the meet. Back to Baltimore.
After the meet. Back to Baltimore.	Well... nice to see you again, Lilly.
Well... nice to see you again, Lilly.	You, too, Roy.
Four grand. For the hospital. Is that enough?	Roy, I don't want money from you.
Roy, I don't want money from you.	I pay my debts.
Roy! What are you doing in San Diego?	Myra and me come down to LaJolla for the weekend.
I tripped over a chair.	Get off the grift, Roy.
Lucky? You call that lucky?	He let me live. He let me be his friend.
Not as tough as you, huh?	No. And you have to be.
Thanks, uh, Lilly.	Don't mention it.
Don't mention it.	I guess I owe you my life.
I guess I owe you my life.	You always did.
They knocked out my tooth!	Only one tooth?
So what's your story today?	They twisted my arm.
They twisted my arm.	Only one arm?
Where's the five?	In your other hand.
Let me see how you did that one.	Scram. Go home.
Scram. Go home.	I can't. I just left home.
I can't. I just left home.	You're too young. You should be in school.
You're too young. You should be in school.	I am in school.
I didn't teach you that.	You taught me a lot. Then I invented.
What is it? What's going on?	I'm happy the way I am.
I'm happy the way I am.	By God, it's your mother. It's Lilly.
Don't I get any say in this?	No! Because I --
No! Because I --	That's what I say.
What I say is, no. We don't do partners.	For Christ's sake, why not?
The last I looked, we were just talking things over.	But the setup's there. It's there now.
But the setup's there. It's there now.	I don't think I need it.
You were gone for a while.	I went out to Delmar.
I went out to Delmar.	) The track? Did you run into Lilly?
) The track? Did you run into Lilly?	I saw her.
I saw her.	She didn't see you, in other words.
Open your door.	What?  What for?
What?  What for?	Open it and find out.
You talk the lingo. What's your pitch?	The long end. Big con.
The long end. Big con.	Nobody does that single-o.
I've heard the name.	It was beautiful. And getting better all the time.
It was beautiful. And getting better all the time.	Is that right?
The tap. What you do for a living.	I'm a salesman.
I'm a salesman.	You're on the grift. Same as me.
You're on the grift. Same as me.	Myra, I'm not following this.
I watched you. Working the tap on those soldier boys.	Working the what?
Working the what?	Oh, come on, Roy.
What if we want to drive somewhere while we're there?	We'll rent a car.
I don't see why we have to take the train.	Because it's comfortable.
Get well soon.	Every day in every way.
Every day in every way.	I'll see you when you get home.
That's just Lilly's way.	And you never defend me. You're afraid of her.
And you never defend me. You're afraid of her.	Oh, don't be stupid.
Oh, don't be stupid.	You're a mama's boy, if you want the truth.
You were bleeding inside, honey. Remember that bruise you had?	You called the doctor, huh?
You called the doctor, huh?	Well, no, Roy. Your mother found you.
What are you talking abut, Myra? Marriage?	I didn't say that. You aren't marriage material.
Look at me.	Oh, I am, baby, believe me.
Oh, I am, baby, believe me.	Roy? It this all we have?
Roy? It this all we have?	All? It ain't bad.
All? It ain't bad.	No more than this?
Are you sure?	Let's find out.
You aren't taking me for granted, are you?	Taking you for granite?
Well, well. In a real hurry, are we?	Always, for you, baby.
That's that, then.	Oh, yeah. That's that.
No question, huh?	No, its -- Why did she--?
Not that it matters.  This is the morgue?	You up to it now?
You up to it now?	Sure. Let's get it over.
Yes, I know, I know.	Well, uh, you know, she ate the gun.
I realize this is a shock.	Well, mostly, I don't believe it.
It may be Lilly, but it isn't suicide.	Do you have any particular reason to say that?
Well, thank you. And thank them.	Sickness comes to us all, Mister Dillon.
Sickness comes to us all, Mister Dillon.	That's true, Mr. Simms.
Detective Carter from the Haddonfield P.D.	Toni Blake from Langley P.D.
We're sorry to startle you, Miss Tate.	The door was open, so we let ourselves in.
Care to join me?	Come on, Carter.  You know it's Michael.
You take all your dates here. Blake?	Only the real stiffs.
Only the real stiffs.	I can be real stiff.
One set of muddy shoe prints.	That don't match either of the victim's.
Mind if we sit down?	I'd prefer you didn't.  I'm very busy.
I'd prefer you didn't.  I'm very busy.	Okay, then how 'bout we ask you a few questions?
I'll be damned.	Do I know you?
Think Eddie had something to do with it?	Doesn't look good.
A dead body?	It's Amy Kramer.
Another historical inaccuracy.	Would somebody shut this guy up?
Besides, it's historically inaccurate.	What the fuck are you talking about?
Jimmy, what are you doing?	Checking out your place.
